S 10 46 20
1
0	0,03490659	0,06981317	0,10471976	0,13962634	0,17453293	0,20943951	0,2443461	0,27925268	0,31415927	0,34906585	0,38397244	0,41887902	0,45378561	0,48869219	0,52359878	0,55850536	0,59341195	0,62831853	0,66322512	0,6981317	0,73303829	0,76794487	0,80285146	0,83775804	0,87266463	0,90757121	0,9424778	0,97738438	1,01229097	1,04719755	1,08210414	1,11701072	1,15191731	1,18682389	1,22173048	1,25663706	1,29154365	1,32645023	1,36135682	1,3962634	1,43116999	1,46607657	1,50098316	1,53588974	1,57079633	
05,00	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	3,7685E-032	8,8591E-032	1,4119E-031	2,2027E-031	3,5853E-031	5,1318E-031	6,3589E-031	7,9698E-031	9,8531E-031	1,1921E-030	1,3575E-030	1,5439E-030	1,7314E-030	1,8888E-030	2,0068E-030	2,1141E-030	2,1719E-030	2,2022E-030	TRUE
10,00	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	8,5735E-032	3,9252E-031	1,3081E-030	3,8967E-030	1,0365E-029	2,5103E-029	5,6112E-029	1,1689E-028	2,2873E-028	4,2348E-028	7,4585E-028	1,2558E-027	2,0300E-027	3,1618E-027	4,7598E-027	6,9445E-027	9,8431E-027	1,3582E-026	1,8280E-026	2,4036E-026	3,0921E-026	3,8967E-026	4,8162E-026	5,8441E-026	6,9682E-026	8,1709E-026	9,4291E-026	1,0715E-025	1,1997E-025	1,3241E-025	1,4411E-025	1,5474E-025	1,6394E-025	1,7144E-025	1,7698E-025	1,8039E-025	1,8153E-025	TRUE
15,00	0,0000E000	0,0000E000	0,0000E000	0,0000E000	1,8614E-031	1,7151E-030	1,0751E-029	5,0316E-029	1,8948E-028	6,0260E-028	1,6722E-027	4,1483E-027	9,3653E-027	1,9510E-026	3,7925E-026	6,9418E-026	1,2052E-025	1,9961E-025	3,1701E-025	4,8496E-025	7,1722E-025	1,0283E-024	1,4332E-024	1,9472E-024	2,5843E-024	3,3546E-024	4,2657E-024	5,3241E-024	6,5321E-024	7,8827E-024	9,3606E-024	1,0951E-023	1,2641E-023	1,4411E-023	1,6226E-023	1,8044E-023	1,9825E-023	2,1538E-023	2,3154E-023	2,4644E-023	2,5975E-023	2,7115E-023	2,8033E-023	2,8705E-023	2,9116E-023	2,9253E-023	TRUE
20,00	0,0000E000	0,0000E000	8,5765E-031	1,9271E-029	1,8406E-028	1,0801E-027	4,6170E-027	1,5765E-026	4,5421E-026	1,1441E-025	2,5834E-025	5,3286E-025	1,0192E-024	1,8299E-024	3,1117E-024	5,0450E-024	7,8348E-024	1,1704E-023	1,6898E-023	2,3688E-023	3,2364E-023	4,3167E-023	5,6228E-023	7,1592E-023	8,9344E-023	1,0971E-022	1,3293E-022	1,5888E-022	1,8700E-022	2,1650E-022	2,4686E-022	2,7821E-022	3,1093E-022	3,4508E-022	3,8012E-022	4,1496E-022	4,4828E-022	4,7893E-022	5,0626E-022	5,3007E-022	5,5034E-022	5,6712E-022	5,8036E-022	5,8996E-022	5,9578E-022	5,9774E-022	TRUE
25,00	0,0000E000	3,9238E-030	2,5304E-028	3,1678E-027	2,0032E-026	8,6255E-026	2,8812E-025	8,0008E-025	1,9263E-024	4,1375E-024	8,0973E-024	1,4682E-023	2,5007E-023	4,0457E-023	6,2704E-023	9,3636E-023	1,3515E-022	1,8881E-022	2,5567E-022	3,3635E-022	4,3167E-022	5,4344E-022	6,7455E-022	8,2770E-022	1,0032E-021	1,1968E-021	1,4002E-021	1,6040E-021	1,8040E-021	2,0044E-021	2,2159E-021	2,4498E-021	2,7119E-021	2,9985E-021	3,2959E-021	3,5822E-021	3,8363E-021	4,0459E-021	4,2094E-021	4,3325E-021	4,4233E-021	4,4894E-021	4,5364E-021	4,5680E-021	4,5863E-021	4,5923E-021	TRUE
30,00	0,0000E000	4,3399E-028	1,4151E-026	1,2962E-025	6,4819E-025	2,2644E-024	6,2442E-024	1,4577E-023	3,0112E-023	5,6713E-023	9,9447E-023	1,6475E-022	2,6041E-022	3,9510E-022	5,7734E-022	8,1394E-022	1,1085E-021	1,4607E-021	1,8681E-021	2,3295E-021	2,8498E-021	3,4425E-021	4,1291E-021	4,9309E-021	5,8571E-021	6,8903E-021	7,9792E-021	9,0459E-021	1,0010E-020	1,0817E-020	1,1459E-020	1,1975E-020	1,2447E-020	1,2975E-020	1,3651E-020	1,4534E-020	1,5640E-020	1,6928E-020	1,8306E-020	1,9662E-020	2,0896E-020	2,1942E-020	2,2765E-020	2,3351E-020	2,3701E-020	2,3817E-020	TRUE
35,00	0,0000E000	2,1513E-026	3,8533E-025	2,2754E-024	8,5747E-024	2,4957E-023	6,0954E-023	1,3056E-022	2,5201E-022	4,4641E-022	7,3545E-022	1,1385E-021	1,6706E-021	2,3413E-021	3,1574E-021	4,1280E-021	5,2708E-021	6,6181E-021	8,2181E-021	1,0129E-020	1,2401E-020	1,5054E-020	1,8048E-020	2,1265E-020	2,4516E-020	2,7578E-020	3,0243E-020	3,2365E-020	3,3883E-020	3,4861E-020	3,5519E-020	3,6211E-020	3,7335E-020	3,9228E-020	4,2117E-020	4,6043E-020	5,0812E-020	5,6049E-020	6,1367E-020	6,6429E-020	7,0992E-020	7,4899E-020	7,8030E-020	8,0306E-020	8,1685E-020	8,2146E-020	TRUE
40,00	0,0000E000	3,5432E-025	5,4674E-024	2,6914E-023	8,3717E-023	2,0132E-022	4,1181E-022	7,5512E-022	1,2811E-021	2,0521E-021	3,1447E-021	4,6481E-021	6,6581E-021	9,2650E-021	1,2534E-020	1,6484E-020	2,1067E-020	2,6155E-020	3,1548E-020	3,6998E-020	4,2254E-020	4,7111E-020	5,1467E-020	5,5372E-020	5,9075E-020	6,3042E-020	6,7926E-020	7,4439E-020	8,3150E-020	9,4290E-020	1,0766E-019	1,2261E-019	1,3833E-019	1,5426E-019	1,6991E-019	1,8475E-019	1,9820E-019	2,0970E-019	2,1885E-019	2,2552E-019	2,2988E-019	2,3235E-019	2,3348E-019	2,3383E-019	2,3384E-019	2,3381E-019	TRUE
45,00	0,0000E000	2,6639E-024	3,4741E-023	1,6264E-022	4,8452E-022	1,1215E-021	2,1908E-021	3,7943E-021	6,0052E-021	8,8636E-021	1,2382E-020	1,6560E-020	2,1414E-020	2,7001E-020	3,3453E-020	4,0993E-020	4,9941E-020	6,0679E-020	7,3594E-020	8,8986E-020	1,0695E-019	1,2728E-019	1,4943E-019	1,7253E-019	1,9551E-019	2,1725E-019	2,3656E-019	2,5218E-019	2,6285E-019	2,6736E-019	2,6484E-019	2,5504E-019	2,3871E-019	2,1771E-019	1,9434E-019	1,7094E-019	1,4968E-019	1,3226E-019	1,2009E-019	1,1251E-019	1,0924E-019	1,0922E-019	1,1054E-019	1,1190E-019	1,1279E-019	1,1310E-019	TRUE
