S 10 46 20
1
0	0,03490659	0,06981317	0,10471976	0,13962634	0,17453293	0,20943951	0,2443461	0,27925268	0,31415927	0,34906585	0,38397244	0,41887902	0,45378561	0,48869219	0,52359878	0,55850536	0,59341195	0,62831853	0,66322512	0,6981317	0,73303829	0,76794487	0,80285146	0,83775804	0,87266463	0,90757121	0,9424778	0,97738438	1,01229097	1,04719755	1,08210414	1,11701072	1,15191731	1,18682389	1,22173048	1,25663706	1,29154365	1,32645023	1,36135682	1,3962634	1,43116999	1,46607657	1,50098316	1,53588974	1,57079633	
05,00	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	-3,7680E-032	-8,8575E-032	-1,4116E-031	-1,9451E-031	-2,3260E-031	-2,8372E-031	-3,1754E-031	-3,2861E-031	-3,3905E-031	-3,6719E-031	-4,0339E-031	-4,3548E-031	-4,5713E-031	-4,7483E-031	-4,7630E-031	-5,6072E-031	-8,0520E-031	-1,6249E-032	
10,00	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	-8,5735E-032	-3,9252E-031	-1,3081E-030	-3,7951E-030	-9,9274E-030	-2,3862E-029	-5,2721E-029	-1,0841E-028	-2,0915E-028	-3,8114E-028	-6,5968E-028	-1,0896E-027	-1,7246E-027	-2,6247E-027	-3,8529E-027	-5,4692E-027	-7,5245E-027	-1,0053E-026	-1,3065E-026	-1,6541E-026	-2,0428E-026	-2,4634E-026	-2,9038E-026	-3,3487E-026	-3,7810E-026	-4,1831E-026	-4,5387E-026	-4,8348E-026	-5,0645E-026	-5,2304E-026	-5,3495E-026	-5,4623E-026	-5,6508E-026	-6,0821E-026	-7,1043E-026	-8,9673E-026	-6,5280E-028	
15,00	0,0000E000	0,0000E000	0,0000E000	0,0000E000	-1,8614E-031	-1,7151E-030	-1,0751E-029	-5,0098E-029	-1,8827E-028	-5,9694E-028	-1,6504E-027	-4,0754E-027	-9,1502E-027	-1,8938E-026	-3,6533E-026	-6,6286E-026	-1,1393E-025	-1,8656E-025	-2,9251E-025	-4,4112E-025	-6,4202E-025	-9,0426E-025	-1,2360E-024	-1,6437E-024	-2,1304E-024	-2,6946E-024	-3,3316E-024	-4,0337E-024	-4,7873E-024	-5,5717E-024	-6,3641E-024	-7,1434E-024	-7,8886E-024	-8,5752E-024	-9,1789E-024	-9,6823E-024	-1,0080E-023	-1,0382E-023	-1,0611E-023	-1,0817E-023	-1,1082E-023	-1,1553E-023	-1,2466E-023	-1,4041E-023	-1,4530E-023	-7,0055E-026	
20,00	0,0000E000	0,0000E000	-8,5765E-031	-1,9271E-029	-1,8399E-028	-1,0790E-027	-4,6084E-027	-1,5716E-026	-4,5201E-026	-1,1360E-025	-2,5575E-025	-5,2558E-025	-1,0008E-024	-1,7874E-024	-3,0207E-024	-4,8618E-024	-7,4862E-024	-1,1075E-023	-1,5814E-023	-2,1902E-023	-2,9521E-023	-3,8768E-023	-4,9612E-023	-6,1951E-023	-7,5738E-023	-9,0994E-023	-1,0760E-022	-1,2506E-022	-1,4265E-022	-1,5970E-022	-1,7594E-022	-1,9141E-022	-2,0605E-022	-2,1952E-022	-2,3128E-022	-2,4082E-022	-2,4799E-022	-2,5308E-022	-2,5690E-022	-2,6074E-022	-2,6650E-022	-2,7666E-022	-2,9350E-022	-3,1146E-022	-2,7153E-022	-1,0730E-024	
25,00	0,0000E000	-3,9238E-030	-2,5304E-028	-3,1674E-027	-2,0025E-026	-8,6187E-026	-2,8770E-025	-7,9813E-025	-1,9190E-024	-4,1139E-024	-8,0311E-024	-1,4516E-023	-2,4630E-023	-3,9670E-023	-6,1168E-023	-9,0793E-023	-1,3010E-022	-1,8020E-022	-2,4153E-022	-3,1407E-022	-3,9809E-022	-4,9472E-022	-6,0575E-022	-7,3186E-022	-8,7049E-022	-1,0149E-021	-1,1563E-021	-1,2880E-021	-1,4097E-021	-1,5270E-021	-1,6469E-021	-1,7723E-021	-1,8999E-021	-2,0207E-021	-2,1235E-021	-2,1998E-021	-2,2478E-021	-2,2727E-021	-2,2851E-021	-2,2982E-021	-2,3264E-021	-2,3811E-021	-2,4536E-021	-2,4354E-021	-1,8569E-021	-6,5775E-024	
30,00	0,0000E000	-4,3399E-028	-1,4151E-026	-1,2961E-025	-6,4801E-025	-2,2630E-024	-6,2368E-024	-1,4547E-023	-3,0012E-023	-5,6430E-023	-9,8745E-023	-1,6318E-022	-2,5714E-022	-3,8873E-022	-5,6548E-022	-7,9276E-022	-1,0721E-021	-1,4010E-021	-1,7744E-021	-2,1896E-021	-2,6499E-021	-3,1674E-021	-3,7585E-021	-4,4345E-021	-5,1873E-021	-5,9799E-021	-6,7483E-021	-7,4203E-021	-7,9438E-021	-8,3069E-021	-8,5397E-021	-8,7029E-021	-8,8667E-021	-9,0867E-021	-9,3892E-021	-9,7706E-021	-1,0205E-020	-1,0660E-020	-1,1112E-020	-1,1559E-020	-1,2018E-020	-1,2481E-020	-1,2783E-020	-1,2175E-020	-8,5409E-021	-2,8547E-023	
35,00	0,0000E000	-2,1513E-026	-3,8532E-025	-2,2752E-024	-8,5725E-024	-2,4943E-023	-6,0894E-023	-1,3035E-022	-2,5136E-022	-4,4467E-022	-7,3126E-022	-1,1293E-021	-1,6517E-021	-2,3056E-021	-3,0946E-021	-4,0239E-021	-5,1078E-021	-6,3748E-021	-7,8675E-021	-9,6337E-021	-1,1706E-020	-1,4073E-020	-1,6654E-020	-1,9292E-020	-2,1775E-020	-2,3893E-020	-2,5492E-020	-2,6511E-020	-2,7005E-020	-2,7151E-020	-2,7223E-020	-2,7511E-020	-2,8231E-020	-2,9474E-020	-3,1200E-020	-3,3257E-020	-3,5439E-020	-3,7562E-020	-3,9534E-020	-4,1335E-020	-4,2959E-020	-4,4212E-020	-4,4193E-020	-4,0116E-020	-2,6289E-020	-8,4504E-023	
40,00	0,0000E000	-3,5432E-025	-5,4673E-024	-2,6912E-023	-8,3698E-023	-2,0122E-022	-4,1141E-022	-7,5383E-022	-1,2777E-021	-2,0442E-021	-3,1280E-021	-4,6155E-021	-6,5978E-021	-9,1575E-021	-1,2348E-020	-1,6171E-020	-2,0551E-020	-2,5333E-020	-3,0282E-020	-3,5128E-020	-3,9612E-020	-4,3547E-020	-4,6879E-020	-4,9736E-020	-5,2456E-020	-5,5559E-020	-5,9638E-020	-6,5176E-020	-7,2348E-020	-8,0927E-020	-9,0326E-020	-9,9774E-020	-1,0860E-019	-1,1637E-019	-1,2281E-019	-1,2777E-019	-1,3127E-019	-1,3350E-019	-1,3478E-019	-1,3543E-019	-1,3545E-019	-1,3393E-019	-1,2769E-019	-1,0920E-019	-6,7114E-020	-2,0906E-022	
45,00	0,0000E000	-2,6639E-024	-3,4741E-023	-1,6263E-022	-4,8444E-022	-1,1211E-021	-2,1892E-021	-3,7892E-021	-5,9916E-021	-8,8318E-021	-1,2315E-020	-1,6434E-020	-2,1192E-020	-2,6636E-020	-3,2889E-020	-4,0165E-020	-4,8769E-020	-5,9060E-020	-7,1373E-020	-8,5915E-020	-1,0263E-019	-1,2110E-019	-1,4056E-019	-1,5991E-019	-1,7795E-019	-1,9347E-019	-2,0531E-019	-2,1239E-019	-2,1391E-019	-2,0949E-019	-1,9939E-019	-1,8464E-019	-1,6695E-019	-1,4834E-019	-1,3057E-019	-1,1491E-019	-1,0203E-019	-9,2072E-020	-8,4802E-020	-7,9256E-020	-7,4727E-020	-7,0067E-020	-6,3115E-020	-5,0706E-020	-2,9477E-020	-8,9672E-023	
