S 10 46 20
1
0	0,03490659	0,06981317	0,10471976	0,13962634	0,17453293	0,20943951	0,2443461	0,27925268	0,31415927	0,34906585	0,38397244	0,41887902	0,45378561	0,48869219	0,52359878	0,55850536	0,59341195	0,62831853	0,66322512	0,6981317	0,73303829	0,76794487	0,80285146	0,83775804	0,87266463	0,90757121	0,9424778	0,97738438	1,01229097	1,04719755	1,08210414	1,11701072	1,15191731	1,18682389	1,22173048	1,25663706	1,29154365	1,32645023	1,36135682	1,3962634	1,43116999	1,46607657	1,50098316	1,53588974	1,57079633	
05,00	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	1,5255E-034	7,0529E-034	1,5815E-033	3,0248E-033	4,4143E-033	7,3950E-033	1,1177E-032	1,8286E-032	2,6951E-032	3,8990E-032	5,5378E-032	7,5501E-032	1,0127E-031	1,3257E-031	1,6983E-031	2,1209E-031	2,6418E-031	3,2389E-031	3,9411E-031	4,8846E-031	6,3048E-031	8,8693E-031	1,5488E-030	4,4846E-030	2,4336E-029	
10,00	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	0,0000E000	4,6526E-036	2,3900E-034	1,4428E-033	7,2657E-033	3,0206E-032	1,0826E-031	3,4064E-031	9,5939E-031	2,4571E-030	5,7918E-030	1,2693E-029	2,6082E-029	5,0596E-029	9,3212E-029	1,6389E-028	2,7623E-028	4,4791E-028	7,0103E-028	1,0621E-027	1,5615E-027	2,2328E-027	3,1115E-027	4,2335E-027	5,6333E-027	7,3434E-027	9,3922E-027	1,1804E-026	1,4605E-026	1,7822E-026	2,1501E-026	2,5721E-026	3,0637E-026	3,6564E-026	4,4147E-026	5,4782E-026	7,1772E-026	1,0409E-025	1,8177E-025	4,2948E-025	9,1184E-025	
15,00	0,0000E000	0,0000E000	2,1916E-036	2,4841E-034	5,4429E-033	6,1227E-032	4,4525E-031	2,3736E-030	1,0027E-029	3,5355E-029	1,0785E-028	2,9200E-028	7,1491E-028	1,6063E-027	3,3534E-027	6,5696E-027	1,2171E-026	2,1442E-026	3,6105E-026	5,8407E-026	9,1209E-026	1,3789E-025	2,0214E-025	2,8799E-025	4,0024E-025	5,4431E-025	7,2487E-025	9,4504E-025	1,2079E-024	1,5185E-024	1,8831E-024	2,3059E-024	2,7875E-024	3,3283E-024	3,9333E-024	4,6168E-024	5,4053E-024	6,3432E-024	7,5086E-024	9,0496E-024	1,1268E-023	1,4831E-023	2,1371E-023	3,5281E-023	6,6724E-023	9,9762E-023	
20,00	0,0000E000	3,3082E-035	1,0020E-032	3,2901E-031	4,2093E-030	3,1301E-029	1,6229E-028	6,4935E-028	2,1380E-027	6,0517E-027	1,5199E-026	3,4658E-026	7,2957E-026	1,4342E-025	2,6536E-025	4,6485E-025	7,7520E-025	1,2385E-024	1,9086E-024	2,8552E-024	4,1614E-024	5,9105E-024	8,1673E-024	1,0972E-023	1,4371E-023	1,8471E-023	2,3466E-023	2,9574E-023	3,6912E-023	4,5389E-023	5,4730E-023	6,4659E-023	7,5152E-023	8,6554E-023	9,9512E-023	1,1484E-022	1,3350E-022	1,5673E-022	1,8653E-022	2,2656E-022	2,8411E-022	3,7428E-022	5,2958E-022	8,1718E-022	1,3070E-021	1,6679E-021	
25,00	0,0000E000	1,4049E-032	2,0877E-030	4,5394E-029	4,1499E-028	2,3102E-027	9,3363E-027	3,0203E-026	8,3061E-026	2,0199E-025	4,4613E-025	9,1111E-025	1,7412E-024	3,1375E-024	5,3576E-024	8,7033E-024	1,3503E-023	2,0111E-023	2,8942E-023	4,0560E-023	5,5778E-023	7,5685E-023	1,0148E-022	1,3410E-022	1,7364E-022	2,1902E-022	2,6833E-022	3,1979E-022	3,7294E-022	4,2961E-022	4,9427E-022	5,7349E-022	6,7416E-022	8,0167E-022	9,5901E-022	1,1475E-021	1,3693E-021	1,6319E-021	1,9534E-021	2,3709E-021	2,9543E-021	3,8345E-021	5,2484E-021	7,5425E-021	1,0677E-020	1,2522E-020	
30,00	0,0000E000	1,7374E-030	1,2345E-028	1,6247E-027	1,0792E-026	4,8772E-026	1,7088E-025	4,9736E-025	1,2538E-024	2,8140E-024	5,7331E-024	1,0759E-023	1,8816E-023	3,0974E-023	4,8439E-023	7,2621E-023	1,0532E-022	1,4905E-022	2,0735E-022	2,8501E-022	3,8777E-022	5,2121E-022	6,8892E-022	8,9022E-022	1,1190E-021	1,3644E-021	1,6132E-021	1,8529E-021	2,0754E-021	2,2828E-021	2,4925E-021	2,7388E-021	3,0672E-021	3,5245E-021	4,1508E-021	4,9784E-021	6,0363E-021	7,3665E-021	9,0514E-021	1,1248E-020	1,4244E-020	1,8543E-020	2,4913E-020	3,4068E-020	4,4697E-020	5,0142E-020	
35,00	0,0000E000	4,7114E-029	2,8992E-027	3,1455E-026	1,7191E-025	6,3612E-025	1,8388E-024	4,4889E-024	9,7068E-024	1,9187E-023	3,5429E-023	6,2040E-023	1,0407E-022	1,6829E-022	2,6319E-022	3,9859E-022	5,8448E-022	8,2926E-022	1,1375E-021	1,5077E-021	1,9320E-021	2,3956E-021	2,8801E-021	3,3672E-021	3,8469E-021	4,3276E-021	4,8476E-021	5,4824E-021	6,3391E-021	7,5339E-021	9,1611E-021	1,1272E-020	1,3878E-020	1,6979E-020	2,0618E-020	2,4891E-020	2,9958E-020	3,6080E-020	4,3692E-020	5,3513E-020	6,6703E-020	8,4991E-020	1,1044E-019	1,4354E-019	1,7738E-019	1,9305E-019	
40,00	0,0000E000	5,6653E-028	2,3561E-026	2,4115E-025	1,2491E-024	4,5043E-024	1,2686E-023	2,9993E-023	6,2178E-023	1,1631E-022	2,0025E-022	3,2203E-022	4,8933E-022	7,0943E-022	9,8999E-022	1,3411E-021	1,7786E-021	2,3284E-021	3,0316E-021	3,9474E-021	5,1531E-021	6,7370E-021	8,7845E-021	1,1360E-020	1,4492E-020	1,8173E-020	2,2368E-020	2,7014E-020	3,2008E-020	3,7195E-020	4,2367E-020	4,7270E-020	5,1632E-020	5,5210E-020	5,7862E-020	5,9622E-020	6,0728E-020	6,1591E-020	6,2674E-020	6,4471E-020	6,7695E-020	7,3056E-020	8,0894E-020	9,0660E-020	9,9827E-020	1,0379E-019	
45,00	0,0000E000	8,7753E-027	1,8475E-025	1,1400E-024	5,0101E-024	1,6411E-023	4,4303E-023	1,0328E-022	2,1491E-022	4,0825E-022	7,1922E-022	1,1887E-021	1,8587E-021	2,7678E-021	3,9442E-021	5,3999E-021	7,1237E-021	9,0769E-021	1,1191E-020	1,3371E-020	1,5506E-020	1,7487E-020	1,9241E-020	2,0769E-020	2,2197E-020	2,3811E-020	2,6058E-020	2,9484E-020	3,4586E-020	4,1677E-020	5,0842E-020	6,2057E-020	7,5300E-020	9,0852E-020	1,0914E-019	1,3072E-019	1,5639E-019	1,8725E-019	2,2488E-019	2,7153E-019	3,3013E-019	4,0385E-019	4,9377E-019	5,9303E-019	6,7848E-019	7,1361E-019	
50,00	0,0000E000	8,4122E-026	1,4493E-024	6,8931E-024	2,2738E-023	5,9095E-023	1,3224E-022	2,6720E-022	5,0126E-022	8,8790E-022	1,5008E-021	2,4370E-021	3,8184E-021	5,7900E-021	8,5144E-021	1,2163E-020	1,6900E-020	2,2870E-020	3,0180E-020	3,8885E-020	4,8969E-020	6,0323E-020	7,2723E-020	8,5799E-020	9,9019E-020	1,1167E-019	1,2288E-019	1,3162E-019	1,3682E-019	1,3752E-019	1,3312E-019	1,2368E-019	1,1011E-019	9,4043E-020	7,7877E-020	6,3295E-020	5,0889E-020	4,4692E-020	4,3864E-020	4,3024E-020	4,2197E-020	4,2159E-020	4,3258E-020	4,5042E-020	4,6612E-020	4,7228E-020	
55,00	0,0000E000	4,7738E-025	7,7182E-024	3,9173E-023	1,1277E-022	2,6601E-022	5,2970E-022	9,3887E-022	1,5293E-021	2,3405E-021	3,4214E-021	4,8399E-021	6,6962E-021	9,1378E-021	1,2374E-020	1,6689E-020	2,2444E-020	3,0068E-020	4,0036E-020	5,2836E-020	6,8935E-020	8,8766E-020	1,1274E-019	1,4130E-019	1,7490E-019	2,1404E-019	2,5920E-019	3,1086E-019	3,6951E-019	4,3562E-019	5,0966E-019	5,9210E-019	6,8347E-019	7,8438E-019	8,9567E-019	1,0187E-018	1,1555E-018	1,3096E-018	1,4865E-018	1,6937E-018	1,9400E-018	2,2296E-018	2,5511E-018	2,8655E-018	3,1047E-018	3,1954E-018	
60,00	0,0000E000	1,3911E-024	2,6949E-023	1,3508E-022	4,1227E-022	9,5214E-022	1,8883E-021	3,3167E-021	5,3169E-021	7,9300E-021	1,1149E-020	1,4916E-020	1,9128E-020	2,3651E-020	2,8349E-020	3,3128E-020	3,7986E-020	4,3072E-020	4,8742E-020	5,5597E-020	6,4473E-020	7,6373E-020	9,2316E-020	1,1314E-019	1,3934E-019	1,7114E-019	2,0870E-019	2,5242E-019	3,0289E-019	3,6089E-019	4,2731E-019	5,0320E-019	5,8980E-019	6,8862E-019	8,0154E-019	9,3084E-019	1,0794E-018	1,2506E-018	1,4486E-018	1,6772E-018	1,9390E-018	2,2314E-018	2,5399E-018	2,8300E-018	3,0453E-018	3,1260E-018	
65,00	0,0000E000	3,8084E-024	5,6375E-023	3,2560E-022	1,0143E-021	2,3819E-021	4,7879E-021	8,5545E-021	1,3985E-020	2,1324E-020	3,0716E-020	4,2171E-020	5,5537E-020	7,0469E-020	8,6422E-020	1,0265E-019	1,1823E-019	1,3212E-019	1,4323E-019	1,5056E-019	1,5339E-019	1,5147E-019	1,4528E-019	1,3618E-019	1,2652E-019	1,1928E-019	1,1735E-019	1,2251E-019	1,3477E-019	1,5140E-019	1,7095E-019	1,9217E-019	2,1382E-019	2,3548E-019	2,5670E-019	2,7700E-019	2,9585E-019	3,1276E-019	3,2725E-019	3,3894E-019	3,4756E-019	3,5309E-019	3,5585E-019	3,5657E-019	3,5630E-019	3,5607E-019	
70,00	0,0000E000	1,0083E-023	1,1704E-022	5,8229E-022	1,8187E-021	4,3775E-021	8,8397E-021	1,6015E-020	2,6620E-020	4,1386E-020	6,0979E-020	8,5943E-020	1,1664E-019	1,5322E-019	1,9550E-019	2,4297E-019	2,9472E-019	3,4937E-019	4,0504E-019	4,5931E-019	5,0925E-019	5,5144E-019	5,8211E-019	5,9734E-019	5,9351E-019	5,6791E-019	5,1960E-019	4,5051E-019	3,6640E-019	2,7703E-019	1,9375E-019	1,2008E-019	6,9916E-020	5,9519E-020	5,6217E-020	5,1832E-020	4,8260E-020	4,5730E-020	4,2516E-020	3,8785E-020	3,4769E-020	3,0747E-020	2,7042E-020	2,4008E-020	2,1999E-020	2,1293E-020	
75,00	0,0000E000	2,2347E-023	2,4013E-022	9,9171E-022	2,5447E-021	6,1553E-021	1,2564E-020	2,2945E-020	3,8517E-020	6,0582E-020	9,0475E-020	1,2951E-019	1,7896E-019	2,3994E-019	3,1343E-019	4,0018E-019	5,0067E-019	6,1503E-019	7,4296E-019	8,8369E-019	1,0358E-018	1,1973E-018	1,3652E-018	1,5355E-018	1,7033E-018	1,8620E-018	2,0037E-018	2,1189E-018	2,1969E-018	2,2264E-018	2,1971E-018	2,1030E-018	1,9452E-018	1,7232E-018	1,4139E-018	1,0769E-018	9,0544E-019	9,0310E-019	8,5160E-019	7,2881E-019	5,3141E-019	2,9987E-019	1,1281E-019	2,1709E-020	1,6948E-021	8,3718E-022	
80,00	0,0000E000	4,3143E-023	4,2865E-022	1,6830E-021	2,9310E-021	7,0818E-021	1,4535E-020	2,6595E-020	4,4853E-020	7,0953E-020	1,0668E-019	1,5390E-019	2,1454E-019	2,9055E-019	3,8386E-019	4,9642E-019	6,3011E-019	7,8677E-019	9,6818E-019	1,1760E-018	1,4119E-018	1,6774E-018	1,9739E-018	2,3028E-018	2,6651E-018	3,0619E-018	3,4938E-018	3,9612E-018	4,4638E-018	5,0003E-018	5,5684E-018	6,1636E-018	6,7794E-018	7,4063E-018	8,0334E-018	8,6523E-018	9,2644E-018	9,7986E-018	1,0096E-017	1,0029E-017	9,5660E-018	8,9258E-018	8,5349E-018	8,6259E-018	8,9480E-018	9,1016E-018	
